fator_ruido,metodo,observacoes,identificacoes,cobertura,taxa_abstencao,acuracia_seletiva,taxa_identificacoes_incorretas
0.5,espacial,12000,11823,0.98525,0.01475000000000004,0.9835067241816797,0.01625
0.5,forward,12000,11900,0.9916666666666667,0.008333333333333304,0.9984033613445378,0.0015833333333333333
0.75,espacial,12000,11236,0.9363333333333334,0.06366666666666665,0.9330722677109291,0.06266666666666666
0.75,forward,12000,11411,0.9509166666666666,0.04908333333333337,0.9928139514503549,0.006833333333333334
1.0,espacial,12000,10499,0.8749166666666667,0.12508333333333332,0.8812267835031907,0.10391666666666667
1.0,forward,12000,10623,0.88525,0.11475000000000002,0.9787254071354607,0.018833333333333334
1.25,espacial,12000,9778,0.8148333333333333,0.1851666666666667,0.8392309265698507,0.131
1.25,forward,12000,9695,0.8079166666666666,0.19208333333333338,0.9648272305312017,0.028416666666666666
1.5,espacial,12000,9037,0.7530833333333333,0.24691666666666667,0.8049131348898971,0.14691666666666667
1.5,forward,12000,8642,0.7201666666666666,0.2798333333333334,0.9495487155750983,0.036333333333333336
2.0,espacial,12000,7326,0.6105,0.38949999999999996,0.7525252525252525,0.15108333333333332
2.0,forward,12000,6227,0.5189166666666667,0.4810833333333333,0.9180986028585193,0.0425
