metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
espacial,circuito_antihorario,0.5,6,1000,2061242.609,129659.44497695447,1872799,1961271.25,2032306.5,2128322.25,2313942.15,2678398,2.061242609,2.0323065,1.96127125,2.12832225,2.31394215
espacial,circuito_antihorario,0.75,6,1000,2078956.787,142192.08025280546,1871168,1964737.5,2045175.0,2162425.25,2337243.05,2679009,2.078956787,2.045175,1.9647375,2.16242525,2.3372430499999997
espacial,circuito_antihorario,1.0,6,1000,2080075.526,142573.2175360784,1863949,1967927.25,2048166.0,2159589.0,2345234.65,2658233,2.080075526,2.048166,1.96792725,2.159589,2.34523465
espacial,circuito_antihorario,1.25,6,1000,2050503.431,133631.41299413113,1850263,1945914.75,2023638.0,2123931.75,2303164.85,2648882,2.050503431,2.023638,1.94591475,2.12393175,2.30316485
espacial,circuito_antihorario,1.5,6,1000,2039300.047,127008.75588617728,1848555,1939409.25,2012021.0,2114481.75,2286444.25,2622660,2.0393000470000002,2.012021,1.93940925,2.11448175,2.28644425
espacial,circuito_antihorario,2.0,6,1000,2019591.086,134175.2287355637,1828236,1919105.75,1985524.0,2089178.5,2277354.65,2657471,2.0195910859999997,1.985524,1.91910575,2.0891785,2.27735465
espacial,circuito_horario,0.5,6,1000,2159093.163,307483.13703625766,1870618,2007341.25,2089213.0,2208364.5,2543068.35,4839465,2.159093163,2.089213,2.00734125,2.2083645,2.54306835
espacial,circuito_horario,0.75,6,1000,2077878.113,175822.28169621475,1866144,1964058.5,2046266.5,2154533.5,2321134.75,5229329,2.0778781129999997,2.0462665,1.9640585,2.1545335,2.32113475
espacial,circuito_horario,1.0,6,1000,2065554.995,137370.50774866532,1864595,1959262.5,2035143.5,2138697.5,2341351.0,2714424,2.0655549950000003,2.0351435,1.9592625,2.1386975,2.341351
espacial,circuito_horario,1.25,6,1000,2067056.135,130782.72884118874,1860032,1972949.75,2036520.0,2135118.25,2319543.0999999996,2618913,2.067056135,2.03652,1.97294975,2.13511825,2.3195430999999997
